epoch,total_loss,avg_loss,training_accuracy,samples
1,3488.64,0.0581441,64.505,60000
2,2519.66,0.0419943,74.6567,60000
3,2449.82,0.0408303,75.4733,60000
4,2392.39,0.0398732,76.1283,60000
5,2342.89,0.0390482,76.7133,60000
6,2298.25,0.0383041,77.1267,60000
7,2258.78,0.0376464,77.5533,60000
8,2222.01,0.0370334,77.9667,60000
9,2188,0.0364667,78.3283,60000
10,2157.53,0.0359589,78.6733,60000
11,2129.1,0.0354851,79.0133,60000
12,2101.61,0.0350268,79.3283,60000
13,2076.46,0.0346077,79.585,60000
14,2052.1,0.0342017,79.8933,60000
15,2030.56,0.0338427,80.1067,60000
16,2008.2,0.03347,80.3233,60000
17,1987.36,0.0331227,80.5717,60000
18,1967.87,0.0327978,80.8767,60000
19,1949.03,0.0324838,81.0333,60000
20,1930.63,0.0321771,81.2367,60000
21,1913.64,0.031894,81.3917,60000
22,1896.42,0.0316071,81.6067,60000
23,1880.29,0.0313382,81.775,60000
24,1864.72,0.0310787,81.935,60000
25,1849.6,0.0308267,82.1033,60000
